Fecha;PETROLEO;TS;DÓLAR;S&P
30/6/2025;65,16;37,45;96,493;6204,95
27/6/2025;65,52;36,91;97,031;6173,07
26/6/2025;65,24;36,49;96,762;6141,02
25/6/2025;64,92;35,51;97,273;6092,16
24/6/2025;64,37;35,7;97,45;6092,18
23/6/2025;68,51;35,7;98,01;6025,17
20/6/2025;74,93;36,45;98,282;5967,84
18/6/2025;75,14;36,48;98,468;5980,87
17/6/2025;74,84;36,77;98,394;5982,72
16/6/2025;71,77;36,21;97,702;6033,11
13/6/2025;71,29;35,99;98,176;5976,97
12/6/2025;66,64;36,03;97,901;6045,26
11/6/2025;66,9;36,24;98,604;6022,24
10/6/2025;63,91;36,11;99,07;6038,81
9/6/2025;64,22;35,43;98,442;6005,88
6/6/2025;64,58;34,66;99,142;6000,36
5/6/2025;63,37;34,56;98,704;5939,3
4/6/2025;62,85;34,5;98,73;5970,81
3/6/2025;63,41;35,28;99,159;5970,37
2/6/2025;62,52;35,32;98,635;5935,94
30/5/2025;60,79;33,45;99,259;5911,69
29/5/2025;60,94;33,81;99,209;5912,17
28/5/2025;61,84;33,32;99,785;5888,55
27/5/2025;60,89;32,61;99,425;5921,54
23/5/2025;61,53;32,57;99,01;5802,82
22/5/2025;61,2;32,39;99,849;5842,01
21/5/2025;61,57;32,88;99,435;5844,61
20/5/2025;62,56;33,31;99,977;5940,46
19/5/2025;62,69;34,11;100,288;5963,6
16/5/2025;61,97;34,11;100,946;5958,38
15/5/2025;61,15;34,49;100,729;5916,93
14/5/2025;62,68;34,73;100,873;5892,58
13/5/2025;63,25;34,79;100,826;5886,55
12/5/2025;61,56;34,73;101,599;5844,19
9/5/2025;61,02;34,05;100,168;5659,91
8/5/2025;59,91;33,62;100,49;5663,94
7/5/2025;58,07;32,97;99,435;5631,28
6/5/2025;59,09;33,44;99,047;5606,91
5/5/2025;57,13;33,43;99,64;5650,38
2/5/2025;58,29;33,55;99,84;5686,67
1/5/2025;59,24;32,76;100,054;5604,14
30/4/2025;58,21;33,29;99,27;5569,06
29/4/2025;60,42;33,74;99,018;5560,83
28/4/2025;62,05;33,75;98,789;5528,75
25/4/2025;63,02;33,68;99,254;5525,21
24/4/2025;62,79;33,42;99,168;5484,77
23/4/2025;62,27;32,98;99,636;5375,86
22/4/2025;64,31;33,19;98,69;5287,76
21/4/2025;63,08;32,6;98,044;5158,2
17/4/2025;64,68;33,26;99,129;5282,7
16/4/2025;62,47;32,69;99,143;5275,7
15/4/2025;60,75;32,07;99,962;5396,63
14/4/2025;61,05;31,97;99,397;5405,97
11/4/2025;61,5;32,34;99,892;5363,36
10/4/2025;60,07;30,98;100,61;5268,05
9/4/2025;62,35;32,65;102,623;5456,9
8/4/2025;59,58;30,71;102,701;4982,77
7/4/2025;60,7;32,28;102,972;5062,25
4/4/2025;61,99;33,17;102,768;5074,08
3/4/2025;66,95;35,9;101,795;5396,52
2/4/2025;71,71;39,23;103,491;5670,97
1/4/2025;71,2;39,46;103,949;5633,07
31/3/2025;71,48;39,11;103,883;5611,85
