Symbol;Name;Sector;Price;Price/Earnings;Dividend Yield;Earnings/Share;52 Week Low;52 Week High;Market Cap;EBITDA;Price/Sales;Sales;Price/Book;SEC Filings
MMM;3M Company;Industrials;222,89;24,31;23.328.617;7,92;259,77;175,49;138721055226.00;9048000000.00;43.902.707;9.785.474.363;11,34;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS;A.O. Smith Corp;Industrials;60,24;27,76;11.479.592;1,7;68,39;48.925;10783419933.00;601000000.00;35.754.826;2.153.870.718;6,35;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT;Abbott Laboratories;Health Care;56,27;22,51;19.089.824;0,26;64,6;42,28;102121042306.00;5744000000.00;37.404.804;2.104.768.321;3,19;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV;AbbVie Inc.;Health Care;108,48;19,41;24.995.599;3,29;125,86;60,05;181386347059.00;10310000000.00;6.291.571;682.509.622;26,14;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN;Accenture plc;Information Technology;150,51;25,47;17.144.699;5,44;162,6;114,82;98765855553.00;5643228000.00;2.604.117;391.945.650;10,62;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI;Activision Blizzard;Information Technology;65,83;31,8;0,43190324;1,28;74.945;38,93;52518668144.00;2704000000.00;1.059.512;69.747.675;5,16;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI;Acuity Brands Inc;Industrials;145,41;18,22;0,35118526;7,43;225,36;142;6242377704.00;587800000.00;17.953.473;2.610.614.509;3,55;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE;Adobe Systems Inc;Information Technology;185,16;52,31;0;3,39;204,45;114.451;94550214268.00;2538040000.00;13.092.818;2.424.266.181;11,06;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP;Advance Auto Parts;Consumer Discretionary;109,63;19,54;0,21832074;6,19;169,55;78,81;8123611867.00;853941000.00;11.301.061;1.238.935.317;2,51;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AMD;Advanced Micro Devices Inc;Information Technology;11,22;187;0;0,03;15,65;9,7;11191663795.00;339000000.00;21.091.955;236.651.735;21,47;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES;AES Corp;Utilities;10,06;9,96;4.961.832;-1,72;12,05;10;6920851212.00;3001000000.00;0,65951383;7;2,2;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET;Aetna Inc;Health Care;178;18,11;1.101.989;5,75;194,4;119,51;59197016353.00;4139000000.00;0,9923546;177;3,79;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
AMG;Affiliated Managers Group Inc;Financials;179,11;12,24;0,6387395;12,07;216.995;148,81;10442174371.00;1261400000.00;4.591.235;822.336.101;2,89;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
AFL;AFLAC Inc;Financials;83,25;12,24;24.299.066;11,01;91,73;68,8;33422948000.00;0.00;15.429.344;1.284.492.888;1,53;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A;Agilent Technologies Inc;Health Care;65,05;27,45;0,8756979;2,1;75;49,23;21984606918.00;1094000000.00;6.493.563;422.406.273;4,56;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD;Air Products & Chemicals Inc;Materials;152,8;24,22;27.811.136;13,66;175,17;1.336.301;34638387128.00;2542500000.00;41.163.683;6.289.810.762;3,35;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
AKAM;Akamai Technologies Inc;Information Technology;62,49;32,55;0;1,79;69,56;44,65;10906904066.00;789517000.00;58.546.524;3.658.572.285;3,25;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALK;Alaska Air Group Inc;Industrials;64,04;9,66;19.928.383;8,28;101,43;59,25;7903173734.00;1665000000.00;0,9801092;63;2,21;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
ALB;Albemarle Corp;Materials;105,18;26,03;12.004.126;5,66;144,99;90,35;11782151266.00;686030000.00;53.666.205;5.644.611.442;2,98;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ARE;Alexandria Real Estate Equities Inc;Real Estate;114,58;19,03;30.262.272;1,57;134,37;106,89;12043374429.00;0.00;10.492.155;1.202.191.120;2,07;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALXN;Alexion Pharmaceuticals;Health Care;108,47;22,18;0;1,77;149,34;96,18;26172439795.00;1072000000.00;9.720.562;1.054.389.360;2,82;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
ALGN;Align Technology;Health Care;220,71;56,59;0;2,84;287,32;92,61;18788041378.00;380326000.00;13.138.819;2.899.868.741;16,44;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE;Allegion;Industrials;77,32;21,07;0,8004002;2,37;89,81;66,72;7599609494.00;531800000.00;4.265.232;329.787.738;20,48;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
AGN;Allergan, Plc;Health Care;164,2;10,65;1.643.289;38,35;256,8;160,07;56668833898.00;-2888100000.00;4.820.115;791.462.883;0,83;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
